Vx	V(q)	V(q_bar)
3.630000000000000e-01	1.895680e-01	1.799951e+00
3.640000000000000e-01	1.901313e-01	1.799951e+00
3.650000000000000e-01	1.906948e-01	1.799950e+00
3.660000000000000e-01	1.912587e-01	1.799949e+00
3.670000000000000e-01	1.918227e-01	1.799948e+00
3.680000000000000e-01	1.923871e-01	1.799948e+00
3.690000000000000e-01	1.929516e-01	1.799947e+00
3.700000000000000e-01	1.935165e-01	1.799946e+00
3.710000000000000e-01	1.940816e-01	1.799945e+00
3.720000000000000e-01	1.946469e-01	1.799944e+00
3.730000000000000e-01	1.952125e-01	1.799943e+00
3.740000000000000e-01	1.957784e-01	1.799942e+00
3.750000000000000e-01	1.963445e-01	1.799942e+00
3.760000000000000e-01	1.969109e-01	1.799941e+00
3.770000000000000e-01	1.974776e-01	1.799940e+00
3.780000000000000e-01	1.980445e-01	1.799939e+00
3.790000000000000e-01	1.986116e-01	1.799938e+00
3.800000000000000e-01	1.991790e-01	1.799937e+00
3.810000000000000e-01	1.997467e-01	1.799936e+00
3.820000000000000e-01	2.003146e-01	1.799935e+00
3.830000000000000e-01	2.008828e-01	1.799934e+00
3.840000000000000e-01	2.014513e-01	1.799933e+00
3.850000000000000e-01	2.020200e-01	1.799932e+00
3.860000000000000e-01	2.025890e-01	1.799931e+00
3.870000000000000e-01	2.031582e-01	1.799930e+00
3.880000000000000e-01	2.037277e-01	1.799929e+00
3.890000000000000e-01	2.042975e-01	1.799928e+00
3.900000000000000e-01	2.048675e-01	1.799927e+00
3.910000000000000e-01	2.054378e-01	1.799926e+00
3.920000000000000e-01	2.060084e-01	1.799924e+00
3.930000000000000e-01	2.065792e-01	1.799923e+00
3.940000000000000e-01	2.071503e-01	1.799922e+00
3.950000000000000e-01	2.077216e-01	1.799921e+00
3.960000000000000e-01	2.082932e-01	1.799920e+00
3.970000000000000e-01	2.088651e-01	1.799919e+00
3.980000000000000e-01	2.094372e-01	1.799917e+00
3.990000000000000e-01	2.100096e-01	1.799916e+00
4.000000000000000e-01	2.105823e-01	1.799915e+00
4.010000000000000e-01	2.111552e-01	1.799913e+00
4.020000000000000e-01	2.117284e-01	1.799912e+00
